frame_number,track_id,label_bbox,label_bbox_score,read_label,text_score
0,1.0,[145.67417907714844 418.7291259765625 202.88063049316406 443.321533203125],0.7498664855957031,7,0.18053263623422655
19,1.0,[158.55038452148438 503.1446533203125 210.12838745117188 534.6927490234375],0.8361731171607971,7,0.2579536910048432
20,1.0,[166.95309448242188 503.8388671875 221.78561401367188 535.62060546875],0.8258707523345947,1,0.7280170959961794
24,3.0,[204.13754272460938 510.02935791015625 256.8845520019531 538.2676391601562],0.7934046387672424,1,0.6008264764202274
26,5.0,[26.81788444519043 242.42919921875 64.23982238769531 414.105712890625],0.6300165057182312,1,0.2520019993306768
27,1.0,[227.3302001953125 511.54425048828125 282.09857177734375 541.6082153320312],0.8388046026229858,17,0.08654459076157578
27,4.0,[34.06915283203125 249.57403564453125 65.95207214355469 413.16912841796875],0.6375583410263062,1,0.7137539039488274
28,3.0,[236.24807739257812 514.5103759765625 290.5534362792969 542.3240966796875],0.8377465009689331,1,0.2550417914531842
28,5.0,[46.252716064453125 261.21533203125 82.110107421875 412.3328857421875],0.6712145209312439,1,0.8570278823191444
29,5.0,[51.66521453857422 259.78277587890625 87.94524383544922 412.62188720703125],0.6885148286819458,1,0.647336272800203
30,5.0,[64.33757019042969 255.76318359375 97.29864501953125 412.4769287109375],0.6465162038803101,8,0.7020745834556443
31,4.0,[260.7000732421875 519.4336547851562 313.9996337890625 550.5177612304688],0.7968195080757141,17,0.9784405491513829
31,5.0,[68.43746948242188 261.82415771484375 116.85592651367188 415.66973876953125],0.7312623262405396,1,0.7062577009519941
31,6.0,[71.990966796875 256.28338623046875 103.623291015625 415.68560791015625],0.6609443426132202,1,0.8107171238525588
32,5.0,[80.44651794433594 262.60516357421875 115.75959777832031 418.22125244140625],0.6855649352073669,1,0.7264768421675036
33,5.0,[84.5850830078125 255.4478759765625 137.4788818359375 422.01837158203125],0.6946973204612732,1,0.42280438896797534
34,5.0,[95.86306762695312 265.42083740234375 131.35464477539062 423.04864501953125],0.6751543879508972,1,0.8576413671335104
35,3.0,[286.1390380859375 528.80078125 337.2462158203125 557.769287109375],0.8290137052536011,1,0.9725026898022406
35,5.0,[98.73736572265625 264.744873046875 148.55755615234375 425.603271484375],0.7339573502540588,1,0.6036688104096619
35,6.0,[100.141845703125 268.260009765625 133.74856567382812 421.3529052734375],0.6060324907302856,1,0.8724934292975064
36,1.0,[485.3758544921875 471.1588134765625 542.3392333984375 501.04736328125],0.8477458357810974,3,0.2311679549158976
36,4.0,[273.8907470703125 148.11166381835938 354.62646484375 185.19265747070312],0.8118429183959961,157,0.5768717706775299
36,5.0,[108.75814819335938 275.863525390625 145.81317138671875 426.7684326171875],0.7050323486328125,,0.0
37,1.0,[281.9744873046875 150.42098999023438 360.03839111328125 189.34274291992188],0.8492595553398132,1732,0.9280399084091187
37,5.0,[113.2269287109375 276.7733154296875 149.18887329101562 428.8087158203125],0.7152234315872192,1,0.731568388170345
38,5.0,[116.46697998046875 279.60406494140625 167.6328125 432.23089599609375],0.7247496843338013,1,0.6457172288951121
39,2.0,[293.9008483886719 159.30630493164062 373.3855285644531 196.91592407226562],0.8423863649368286,31566,0.08232472648041693
39,4.0,[307.17578125 542.0220947265625 356.6851806640625 568.8299560546875],0.8310136795043945,1,0.8076741154638967
39,5.0,[126.92213439941406 278.9503173828125 165.1470489501953 433.42919921875],0.7001032829284668,1,0.3794792010458572
40,3.0,[302.63116455078125 163.0283203125 380.0516357421875 201.3001708984375],0.8088030219078064,36,0.4318186628761135
40,5.0,[125.59234619140625 280.02056884765625 164.6317138671875 437.36505126953125],0.7375059723854065,1,0.6673902001809076
41,4.0,[306.36480712890625 165.27835083007812 386.82098388671875 203.16848754882812],0.7967461347579956,127405,0.14778710266382117
41,5.0,[132.6163330078125 288.8404846191406 184.63092041015625 440.4107360839844],0.7478537559509277,1,0.7270086456529157
42,2.0,[313.8443603515625 167.82110595703125 390.33758544921875 206.44046020507812],0.8109556436538696,97,0.5699975292465436
42,5.0,[141.59127807617188 292.38055419921875 179.52188110351562 441.74249267578125],0.7146243453025818,1,0.8334591633560287
43,2.0,[319.4259033203125 173.62026977539062 396.64227294921875 212.813720703125],0.8412072658538818,257,0.27159750105004854
43,3.0,[325.2095947265625 554.473388671875 376.42041015625 582.098388671875],0.8117287755012512,17,0.9537663955180804
43,4.0,[145.27493286132812 294.2584228515625 190.38308715820312 444.58856201171875],0.7371999025344849,1,0.8123421433249725
44,5.0,[148.40773010253906 297.91162109375 198.88511657714844 451.25634765625],0.6885109543800354,1,0.5254973036131219
45,4.0,[157.3309326171875 299.2071533203125 198.1114501953125 455.26544189453125],0.6981286406517029,1,0.6044284488201725
46,3.0,[336.37982177734375 192.64817810058594 412.04095458984375 229.78184509277344],0.8189719319343567,1285,0.2961415648460388
46,4.0,[160.8966522216797 309.8746337890625 206.6902313232422 458.2266845703125],0.7617624998092651,1,0.28932522157312235
47,3.0,[341.05303955078125 196.8203887939453 419.5330810546875 235.7393035888672],0.8036461472511292,1287915,0.1036694728934436
47,4.0,[163.87393188476562 312.65667724609375 215.43243408203125 461.517333984375],0.7524551749229431,1,0.815270783241445
48,1.0,[348.8729248046875 201.5587158203125 425.52734375 241.13815307617188],0.8545904755592346,41387,0.10923403318554319
48,4.0,[173.4708251953125 313.0972900390625 214.82574462890625 466.89788818359375],0.7131710648536682,1,0.8742866433042451
49,2.0,[350.19195556640625 581.978759765625 401.07861328125 606.32958984375],0.8444361090660095,17097,0.4104397572415774
49,3.0,[352.947021484375 210.07135009765625 429.9537353515625 247.82574462890625],0.8107222318649292,1207670054,0.22058368415514967
49,4.0,[175.94671630859375 325.80047607421875 219.361328125 472.94720458984375],0.7389278411865234,1,0.8464361133612783
50,2.0,[355.24761962890625 588.6478271484375 403.65118408203125 614.6483154296875],0.8286206126213074,173,0.23130087554454803
50,3.0,[360.49334716796875 213.55645751953125 436.62823486328125 254.3265380859375],0.7883119583129883,120220054,0.19140756697655253
50,4.0,[179.16024780273438 328.0836181640625 231.44680786132812 476.2266845703125],0.7142801880836487,1,0.8293988507021233
51,1.0,[365.20458984375 221.48138427734375 441.5384521484375 259.58990478515625],0.8332975506782532,120220151,0.2309141037328035
51,4.0,[186.83071899414062 329.448486328125 231.26107788085938 482.25244140625],0.7048002481460571,1,0.4718312275650227
52,4.0,[190.72695922851562 339.7724609375 239.03689575195312 487.197021484375],0.7619781494140625,1,0.12119226809020578
53,1.0,[379.71026611328125 234.06787109375 452.36761474609375 272.7081298828125],0.8291761875152588,128,0.9910931162615475
53,4.0,[195.33822631835938 344.59210205078125 247.59738159179688 491.58489990234375],0.7670572400093079,1,0.7146618155666715
54,2.0,[373.4731750488281 611.39013671875 423.8673400878906 635.731689453125],0.8226512670516968,107,0.9268628408475119
54,3.0,[384.57958984375 242.509033203125 457.9169921875 278.8834228515625],0.8055714964866638,112874,0.48970772236435256
54,4.0,[200.44476318359375 353.156982421875 245.33120727539062 496.7010498046875],0.690851628780365,1,0.7740886673144729
